cv,avgcv,maxcv,mincv,maxdate,mindate,maxlon,minlon,maxlat,minlat,datapts
t2m,4.574,40.377,-70.887,1965-12-01,1961-01-01,180,-179.75,90,-90,62294400
t2m,4.623,39.891,-70.919,1970-12-01,1966-01-01,180,-179.75,90,-90,62294400
t2m,4.631,39.903,-73.218,1975-12-01,1971-01-01,180,-179.75,90,-90,62294400
t2m,4.736,40.03,-71.815,1980-12-01,1976-01-01,180,-179.75,90,-90,62294400
t2m,5.048,40.174,-70.047,1985-12-01,1981-01-01,180,-179.75,90,-90,62294400
t2m,5.076,40.716,-73.219,1990-12-01,1986-01-01,180,-179.75,90,-90,62294400
tp,2.328,170.242,0,1965-12-01,1961-01-01,180,-179.75,90,-90,62294400
tp,2.35,129.25,0,1970-12-01,1966-01-01,180,-179.75,90,-90,62294400
tp,2.362,150.806,0,1975-12-01,1971-01-01,180,-179.75,90,-90,62294400
tp,2.35,151.043,0,1980-12-01,1976-01-01,180,-179.75,90,-90,62294400
tp,2.381,145.309,0,1985-12-01,1981-01-01,180,-179.75,90,-90,62294400
tp,2.366,154.491,0,1990-12-01,1986-01-01,180,-179.75,90,-90,62294400
